old_indication;index;old_indication_normalized
"hip fracture; fascia iliaca compartment block";7915;"fracture; fascia iliaca block"
hip fracture surgery;7916;surgery
hip fracture surgeries;7917;fracture
hip fracture repair surgery;7918;fracture
hip fracture pa;7919;fracture
hip fracture;7920;fracture
"hip dysplasia; hip injuries; hip fractures; hip disease";7921;"fracture; fracture; fracture; ckd cad aki ed scd"
"hip dysplasia; hip disease";7922;"fracture; ckd cad aki ed scd"
hip disease;7923;ckd cad aki ed scd
"hip arthroscopy; articular cartilage defect";7924;"fracture; - ac disorders
- ac defect
- fi disorders
- lipid disorders
- nonorganic sleep"
hip arthroscopy;7925;fracture
hip arthroplasty;7926;tkr
"hip arthropathy; tha";7927;"fracture; obesity"
"hip arthropathy; postoperative pain";7928;"fracture; pain"
"hip arthropathy; hip osteoarthritis; hip pa";7929;"fracture; oa; fracture"
"hip arthropathy; hip osteoarthritis; hip arthritis";7930;"fracture; oa; ra pa ka jpa gout"
"hip arthropathy; hip disease";7931;"fracture; ckd cad aki ed scd"
hip and knee joint disease;7932;pji hip
hip and knee arthroplasty;7933;tkr
"hip and knee arthroplasties; postoperative pain";7934;"hip movement
hip and knee arthroplasties
caffeine supplementation
movement improvement; pain"
hip and femur surgery;7935;hip surgery
high-risk pregnancy;7936;pregnancy
"high-risk myelodisplastic syndrome; myeloid leukemia";7937;"rds mets cad ibs rtis; leukemia"
high-risk hpv infection of cervix;7938;obstetric wound infection
high-risk hpv;7939;hpv
highly sensitised kidney transplant patients;7940;kidney transplant failure
high-intensity focused ultrasound anesthesia;7941;high-intensity focused ultrasound anesthesia
high-altitude illnesses;7942;illnesses
"high risk pregnant women; postpartum hemorrhage";7943;"pregnant women volume management; hemorrhage"
"high risk pregnancy; healing surgical wounds";7944;"pregnancy; wound"
high risk pregnancy;7945;pregnancy
high risk factors of allergy;7946;rebound pa injection pa allergy risk factors growth factors levels acl injury risk factors
high dna fragmentation index;7947;high dna fragmentation index
high cholesterol;7948;htn
high body weight;7949;htn
high altitude polycythemia;7950;htn
hiccups;7951;hic
heterotopic ossification after elbow joint fracture;7952;ho after elbow fracture
herpes zoster neuralgia;7953;tn phn phn pn on
herpes zoster;7954;zoster
hernias;7955;hernias
"hernia; umbilical";7956;"hernia; umbilical granuloma"
"hernia; osteoarthritis; urolithiasis";7957;"hernia; oa; urolithiasis"
"hernia surgery; inguinal hernia";7958;"hernia; hernia"
hernia surgery;7959;hernia
hernia repair techniques;7960;hernia
hernia repair;7961;hernia
hernia;7962;hernia
"hereditary nephropathy; other disorders of kidney and ureter";7963;"iganephropathy; teeth disorders musculoskeletal disorders edentulism eye disorders"
hereditary haemochromatosis;7964;ha
hereditary angioedema hae;7965;ha
"hereditary angio edema; congenital c1-inh deficiency";7966;"edema; iron def"
herbal gummy formulation for health immunity and cognition;7967;reprohealth
herbal drugs on oral health;7968;oral health behaviors
hepple iii osteochondral lesion of the talus;7969;digestive diseases
hepatorenal syndrome, kidney injury;7970;"rds mets cad ibs rtis; ckd cad aki ed scd"
hepatorenal syndrome;7971;rds mets cad ibs rtis
hepatoma resectable;7972;hepatoma
"hepatocellular cancer; renal cell cancer; differentiated thyroid cancer";7973;"bc; bc; bc"
hepatocellular cancer;7974;bc
hepatocellular adenoma;7975;adenoma
hepatitis B;7976;hb ha ah hb aihe
hepatitis;7977;hb ha ah hb aihe
hepatic steatosis;7978;hepatic encephalopathy
hepatic occupancy;7979;hepatic encephalopathy
"hepatic insufficiency; healthy";7980;"renal insufficiency; hv"
hepatic insufficiency;7981;renal insufficiency
"hepatic impairment; renal impairment";7982;"mci
cognitive impairment
renal impairment
cognitive decline; mci
cognitive impairment
renal impairment
cognitive decline"
"hepatic impairment; healthy volunteers";7983;"mci
cognitive impairment
renal impairment
cognitive decline; hv"
"hepatic impairment; cirrhosis; cholestatic liver disease";7984;"mci
cognitive impairment
renal impairment
cognitive decline; cirrhosis; ckd cad aki ed scd"
"hepatic impairment; cirrhosis";7985;"mci
cognitive impairment
renal impairment
cognitive decline; cirrhosis"
hepatic impairment;7986;"mci
cognitive impairment
renal impairment
cognitive decline"
hepatic function abnormal;7987;hepatic encephalopathy
hepatic failure;7988;hf rf rf lf onlf
"hepatic encephalopathy; cirrhosis; liver; portosystemic shunt";7989;"hepatic encephalopathy; cirrhosis; liver mets peritoneal mets liver transplant brain mets; r-l shunt"
hepatic disorder;7990;mdd bd aud oud asd
hepatic cirrhosis;7991;cirrhosis
hepatic ascites;7992;ascites
"hepatic artery thrombosis; liver transplant complications";7993;"hepatic encephalopathy; liver mets peritoneal mets liver transplant brain mets"
"hepatectomy; hepatocellular injury";7994;"hepatectomy; tbi"
hepatectomy;7995;hepatectomy
henoch schonle;7996;henoch schonle
"hemothorax; pneumothorax; traumatic pneumothorax";7997;"hemothorax; ptx; ptx"
hemostatic changes after COVID-19-19 vaccination;7998;covid-19 vaccine sequelae
"hemorrhoids; perianal venous thrombosis";7999;"hemorrhoids; vte"
hemorrhoids and perianal venous thrombosis;8000;thromboembolism
hemorrhoids;8001;hemorrhoids
hemorrhoidopexy;8002;hemorrhoidopexy
hemorrhoidectomy;8003;hemorrhoidectomy
hemorrhoid management;8004;"airway management am
weight management wm
difficult airway da
lary"
"hemorrhage; postpartum; placenta previa";8005;"hemorrhage; hemorrhage; placenta previa"
"hemolytic-uremic syndrome; autoimmune hemolytic uremic syndrome";8006;"rds mets cad ibs rtis; ahu syndrome"
"hemolytic uremic syndrome; pediatric kidney disease; diarrhea-associated hemolytic uremic syndrome";8007;"rds mets cad ibs rtis; ckd cad aki ed scd; ahu syndrome"
"hemodynamics instability; post operative pain; gastrointestinal dysfunction; cholecystitis";8008;"intraop hemodynamics; pain; ed; cholecystitis"
hemodynamics instability;8009;intraop hemodynamics
hemodynamics;8010;intraop hemodynamics
"hemodynamic variables; complications of anesthesia";8011;"hemodynamic changes; qol gb disorders pulp necrosis gb calculus ureter calculus"
hemodynamic variables;8012;hemodynamic changes
hemodynamic stress response to laryngoscopy and intubation;8013;ptsd ptsd rsi glabellar lines psychotic disorder
"hemodynamic status; neonate apgar score";8014;"se rse fs ileostomy gcse; apgar score"
hemodynamic stable term and preterm neonates requiring semi-elective endotracheal intubation;8015;intubation-related complications
"hemodynamic stability; post operative pain; inguinal hernia repair";8016;"hemodynamic changes; pain; hernia"
hemodynamic stability after subarachnoid block;8017;intubation-related complications
hemodynamic stability;8018;hemodynamic changes
"hemodynamic instability; pregnancy; fetal cardiac disorder";8019;"hemodynamic changes; pregnancy; mdd bd aud oud asd"
hemodynamic instability;8020;hemodynamic changes
hemodynamic effects;8021;hemodynamic changes
"hemodynamic changes; ecg changes";8022;"hemodynamic changes; hemodynamic changes"
hemodynamic changes;8023;hemodynamic changes
hemodialysis-related muscle spasms;8024;muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex
"hemodialysis; locking solution citrate permanent catheter hemodialysis";8025;"hd hd complication hd maintenance hd hd; cvhd catheter"
"hemodialysis; diet therapy; fluid restrictions; interdialytic weight gain";8026;"hd hd complication hd maintenance hd hd; nadt; fo csf leak af leak af sludge pfr; weight gain"
hemodialysis vascular pathway;8027;hd hd complication hd maintenance hd hd
"hemodialysis patients; cloudy hemodialysis peritoneal dialysis effluent";8028;"hd hd complication hd maintenance hd hd; cloudy hemodialysis peritoneal dialysis effluent"
hemodialysis patients;8029;hd hd complication hd maintenance hd hd
"hemodialysis complication; oxidative stress; inflammation";8030;"hd hd complication hd maintenance hd hd; stress; inflammation"
"hemodialysis complication; malnutrition";8031;"hd hd complication hd maintenance hd hd; malnutrition"
hemodialysis complication;8032;hd hd complication hd maintenance hd hd
hemodialysis;8033;hd hd complication hd maintenance hd hd
hemithyroidectomy;8034;thyroidectomy
hemiplegic shoulder pain;8035;pain
hemiplegia;8036;hemiplegia
hemidiaphragmatic paresis;8037;hemidiaphragmatic paresis
hemiarthroplasty;8038;hemiarthroplasty
"hematuria; benign prostatic hyperplasia; lower urinary tract symptoms";8039;"hematuria; bph eh aeh; luts cuti utis lrti lutc"
"helicobacter pylori; diabetes";8040;"uti; diabetes"
height growth;8041;fgr
"heel pain; plantar fasciitis";8042;"pain; plantar fasciitis"
"heel pain; foot muscle exercise";8043;"pain; muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex"
heel pain;8044;pain
heavy menstrual flow;8045;menstrual disorders
"heavy menstrual bleeding; uterine fibroids";8046;"bleeding; ufibroids"
heavy menstrual bleeding;8047;bleeding
heavy menses;8048;heavy menses
heavy drinking;8049;alcohol
heavy bleeding during menses;8050;menorrhagia
heat-related illnesses;8051;illnesses
heat stroke;8052;stroke
"heart transplant; kidney transplant; liver transplant";8053;"hf rf rf lf onlf; ckd cad aki ed scd; liver mets peritoneal mets liver transplant brain mets"
heart disease unspecified;8054;ckd cad aki ed scd
hearing test;8055;hl wl bl snhl hl
hearing screening for cognitive impairment and dementia;8056;"mci
cognitive impairment
renal impairment
cognitive decline"
"hearing loss; ringing sensation";8057;"hl wl bl snhl hl; tinnitus"
"hearing loss; newborn morbidity";8058;"hl wl bl snhl hl; newborn"
"hearing loss; head and neck cancer";8059;"hl wl bl snhl hl; hn cancer"
"hearing loss; deafness";8060;"hl wl bl snhl hl; ssd"
hearing loss, cochlear implant performance;8061;"hl wl bl snhl hl; implant"
hearing loss;8062;hl wl bl snhl hl
"healthy; salivary fluoride level";8063;"hv; salivary fluoride salivary ph elevated prolactin energy testosterone"
"healthy; safety and blood levels";8064;"hv; safety study"
"healthy; renal impairment";8065;"hv; mci
cognitive impairment
renal impairment
cognitive decline"
"healthy; renal dysfunction";8066;"hv; ed"
"healthy; relative bioavailability study of ly3454738";8067;"hv; irida bioavailability study ly3454738 modified bala taila abhy"
"healthy; pharmacokinetics";8068;"hv; pk"
"healthy; omeprazole administration; molybdenum pharmacokinetics";8069;"hv; omeprazole admin; pk"
"healthy; obese";8070;"hv; obesity"
"healthy; narcolepsy";8071;"hv; narcolepsy"
"healthy; liver diseases; obesity";8072;"hv; cvd msd ad pd ed; obesity"
"healthy; hepatic insufficiency";8073;"hv; renal insufficiency"
"healthy; elevated ldl-c";8074;"hv; elevated ldl-c"
"healthy; drug-drug interaction study";8075;"hv; ddi"
"healthy; drug-drug interaction";8076;"hv; ddi"
healthy young men;8077;hv
healthy young males;8078;hv
"healthy volunteers; tauopathies; alzheimer disease";8079;"hv; tauopathies; ckd cad aki ed scd"
"healthy volunteers; sickle cell disease; thalassemia";8080;"hv; ckd cad aki ed scd; thalassemia"
"healthy volunteers; renal impairment";8081;"hv; mci
cognitive impairment
renal impairment
cognitive decline"
"healthy volunteers; mild hypertension";8082;"hv; htn"
"healthy volunteers; lot-to-lot consistency; immune persistence; ppsv23";8083;"hv; lot-to-lot consistency; immune suppression immune monitoring immune enhancing potential immune persistence adrenal suppression immuno suppression; ppsv23"
"healthy volunteers; liver diseases";8084;"hv; cvd msd ad pd ed"
"healthy volunteers; japanese volunteers";8085;"hv; hv"
"healthy volunteers; infant vaccine pain";8086;"hv; pain"
"healthy volunteers; high blood cholesterol levels; diabetes";8087;"hv; hypercholesterolemia; diabetes"
"healthy volunteers; haemophilia a";8088;"hv; ha"
"healthy volunteers; gastric ph; pharmacokinetics";8089;"hv; adenocarcinoma; pk"
"healthy volunteers; drug-drug interaction";8090;"hv; ddi"
"healthy volunteers; cannabis tea; sleep quality";8091;"hv; cannabis tobacco cannabis intox alcohol marijuana; osa"
healthy volunteers without orthodontic appliance or prosthetics;8092;hv
healthy volunteers under fasting conditions;8093;hv
healthy volunteers study;8094;hv
healthy volunteers only;8095;hv
healthy volunteers - hepatic impairment;8096;hv
"healthy volunteer; opioid-use disorder";8097;"hv; mdd bd aud oud asd"
healthy volunteer study - pa;8098;sip
healthy volunteer study;8099;hv
healthy volunteer;8100;hv
healthy thai adults;8101;hv
healthy teeth and gum;8102;teeth disorders musculoskeletal disorders edentulism eye disorders
"healthy subjects; lipid metabolism";8103;"hv; lipid metabolism"
"healthy subjects; drug-drug interactions";8104;"hv; ddi"
"healthy subjects; adverse events; vital signs; chemistry laboratory values; electrocardiogram readings";8105;"hv; adverse events; vitals; chemistry laboratory values; electrocardiogram readings"
healthy subjects only;8106;hv
healthy subjects;8107;hv
healthy subject;8108;hv
healthy study participants;8109;hv
"healthy students; food safety; mercury fish contamination; nutrition education";8110;"hv; safety; mercury fish contamination; childhood undernutrition"
healthy premenopausal female volunteers;8111;hv
"healthy pregnant women; newborn";8112;"hv; newborn"
healthy population;8113;hv
healthy person;8114;hv
"healthy people; probiotics";8115;"hv; probiotic"
healthy people;8116;hv
healthy patients;8117;hv
"healthy participants; spontaneous urticaria";8118;"hv; urticaria"
"healthy participants; healthy subjects";8119;"hv; hv"
"healthy participants; diabetes";8120;"hv; diabetes"
healthy participants study;8121;hv
healthy participant;8122;hv
healthy overweight/obese participants;8123;hv
healthy older adult;8124;hv
healthy office workers;8125;hv
"healthy male volunteers; dietary supplements; herbal medicine; traditional medicine; bioavailability; gastrointestinal microbiome; metabolomics; metabolite analysis; informed consent; human clinical t";8126;"hv; radiation-induced rectal injury supplements; pm hm tm; pm hm tm; bioavail; gi endoscopy; metabolomics; metabolites; informed consent; hpv"
healthy male volunteers;8127;hv
healthy male subjects;8128;hv
healthy male participants;8129;hv
healthy male and female adults;8130;#NOM?
healthy male;8131;hv
healthy liver of pancreas;8132;liver cirrhosis healthy pancreas sedation post liver transplant passive liver congestion
healthy lactating women;8133;hv
healthy japanese premenopausal females;8134;healthy adults
"healthy individuals; spirometer breathing exercise device accuracy";8135;"hv; spirometer breathing exercise device accuracy"
healthy individuals;8136;hv
healthy independent living older adults;8137;older adults
"healthy human volunteers; without wheat flourgluten produce allergy; jackfruit seed; gluten free; pasta; nutrition";8138;"hv; without wheat flourgluten produce allergy; seed; ncgs; pasta; malnutrition"
"healthy human volunteers; botulinum toxins; immunoglobulins; antibodies";8139;"hv; bot tox; igg; apl"
healthy healthcare workers;8140;hv
healthy female volunteers;8141;hv
healthy female participants;8142;hv
"healthy elderly; home exercise; COVID-19-19; older adults";8143;"hv; exercise eib presurgical exercise healthy-elderly exercise exercise recovery; covid-19; older adults"
healthy elderly;8144;hv
healthy dental patients experiencing dry mouth symptoms;8145;dry mouth full mouth treatment
healthy conditions;8146;hv
"healthy condition; stress index; anxiety-related disorders";8147;"hv; stress; hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders"
"healthy condition; endothelial dysfunction; overweight; obesity";8148;"hv; ed; owt; obesity"
healthy condition;8149;hv
healthy chinese volunteers;8150;hv
healthy chinese subjects;8151;hv
healthy chinese participants;8152;hv
healthy child;8153;hv
healthy athletes;8154;hv
healthy and trained male mountaineer;8155;healthy adults
"healthy aging; elderly; dual-task performance; cognitive function";8156;"aging; elderly; athletic injuries; mci
cognitive impairment
renal impairment
cognitive decline"
healthy aging;8157;aging
"healthy adults; prostate cancer; diagnostic methods; 18f-psma-1007";8158;"hv; bc; gyn; 18f-psma-1007"
healthy adults;8159;hv
healthy adult volunteers;8160;hv
"healthy adult subjects; pharmacokinetics; safety and tolerability";8161;"hv; pk; ssi"
healthy adult subjects;8162;hv
healthy adult subject;8163;hv
healthy adult participants;8164;hv
healthy adult males;8165;hv
healthy adult male volunteers;8166;hv
healthy adult human subjects;8167;healthy adults
healthy adult and elderly;8168;healthy adults
healthy adult;8169;hv
healthy adolescents;8170;hv
"health; drug allergic reaction; adverse events";8171;"mh omhd oh md gh; ar; adverse events"
health supplements;8172;mh omhd oh md gh
health subjects;8173;mh omhd oh md gh
health service research;8174;mh omhd oh md gh
health promotion;8175;mh omhd oh md gh
health prevention;8176;mh omhd oh md gh
health of the elderly;8177;digestive diseases
"health literacy; physical activity behavior";8178;"mh omhd oh md gh; phyactpromo"
health knowledge;8179;mh omhd oh md gh
health conditions;8180;mh omhd oh md gh
"health condition 1; health condition 2";8181;"mh omhd oh md gh; mh omhd oh md gh"
"health condition 1; COVID-19-19; severe to critical COVID-19-19 infection";8182;"mh omhd oh md gh; covid-19; ptsd ptsd rsi glabellar lines psychotic disorder"
health condition 1: o- medical and surgical;8183;ssi
health condition 1: n288- other specified disorders of kidney and ureter;8184;teeth disorders musculoskeletal disorders edentulism eye disorders
health condition 1: m479- spondylosis;8185;dns
health condition 1: j342- deviated nasal septum;8186;dns
health condition 1: h720- central perforation of tympanic membrane;8187;tympanic membrane perforation
health condition 1;8188;mh omhd oh md gh
health condition;8189;mh omhd oh md gh
health behavior;8190;mh omhd oh md gh
healing of implants;8191;qol gb disorders pulp necrosis gb calculus ureter calculus
healing jaw bony defects;8192;ibd
healing after tooth removal;8193;post-op vomiting post-op analgesia tooth healing gall bladder surgery bone healing
"headache; nausea; vomiting after surgery";8194;"headache
cervicogenic
moh
cluster
tension; pon; vom"
"headache; nasopharyngitis; conjunctivitis; gingivitis; urticaria; nausea and vomiting; abdominal and pelvic pain; fever";8195;"headache
cervicogenic
moh
cluster
tension; pharyngitis; conjunctivitis; gingivitis; urticaria; ponv; pelvic pain; fever"
"headache; nasopharyngitis common cold; recurrent oral aphthae; constipation; pharyngitis; excessive and frequent menstruation";8196;"headache
cervicogenic
moh
cluster
tension; cold; oral mucositis; constipation; pharyngitis; menorrhagia"
"headache; malaise and fatigue; rhinitis; flatulence and related conditions; nausea and vomiting; recurrent oral aphthae; functional diarrhea; polyarthritis";8197;"headache
cervicogenic
moh
cluster
tension; fatigue; ar; flatulence ett neuro conditions; ponv; oral mucositis; diarrhea; polyarthritis"
"headache; low back pain; nasopharyngitis common cold; epistaxis; cough; fever of other and unknown origin";8198;"headache
cervicogenic
moh
cluster
tension; pain; cold; epistaxis; cough; teeth disorders musculoskeletal disorders edentulism eye disorders"
"headache; backache";8199;"headache
cervicogenic
moh
cluster
tension; back"
headache severity caused by spinal anesthesia;8200;spinal anesthesia complications
headache and chills after spinal anesthesia;8201;spinal anesthesia complications
headache after spinal anesthesia;8202;spinal anesthesia complications
"headache after cesarean section; other headache syndromes";8203;"c-section; mds"
headache;8204;"headache
cervicogenic
moh
cluster
tension"
"head trauma; thorax trauma";8205;"trauma; trauma"
head trauma patient;8206;trauma
head and/or face laceration;8207;head and/or face laceration
head and neck venous malformation;8208;hn cancer
head and neck squamous cell cancer;8209;nsclc
hb-ss disease;8210;ckd cad aki ed scd
hang rice-germ consumption;8211;hang rice-germ consumption
"hand surgery; wrist surgery; elbow surgery; fracture fixation; dupuytren contracture; finger fracture; wrist arthropathy; distal radius fracture";8212;"surgery; surgery; surgery; fracture; dupuytren contracture; fracture; arthropathy; fracture"
hand surgery;8213;surgery
hand surgeries;8214;abd surgeries
hand sanitizer testing;8215;hand
hand injuries;8216;hand
hand hygiene effectiveness;8217;hand
hand hygiene;8218;hand
hand grip strength;8219;muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex
hand cramps after stroke;8220;stroke complications
hand and forearm surgeries;8221;wrist fracture hand-foot syndrome hand surgery wrist stress fracture knee amputation
hamstring tightness;8222;hamstring strain
hamstring stra;8223;hamstring strain
hamstring muscle tightness;8224;muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex
"hamstring injury; hamstring tendon injury; pulled hamstring; sprained hamstring";8225;"tbi; tbi; hamstring strain; hamstring strain"
hamstring injury;8226;tbi
"hallux valgus; pain";8227;"hallux valgus; pain"
"hallux valgus; hammer toe syndrome";8228;"hallux valgus; rds mets cad ibs rtis"
"hallux valgus; fore foot pain";8229;"hallux valgus; pain"
hallux valgus and bunion;8230;hallux valgus
hallux valgus;8231;hallux valgus
hallux rigidus, first metatarsal pain;8232;"hallux valgus; pain"
"halitosis; mouth disease; plaque induced gingival disease; bleeding gum; peridontal disease";8233;"halitosis; ckd cad aki ed scd; plaque gingivitis; bleeding; ckd cad aki ed scd"
halitosis;8234;halitosis
hair loss;8235;hl wl bl snhl hl
hair color and hair shaft abnormality;8236;hair disorders
haemorrhoids;8237;internal hemorrhoids
"haemorrhage from nose; nosebleed; epistaxis";8238;"ich; epistaxis; epistaxis"
haemorrhage due to tonsillectomy surgery;8239;activity limitation smoke inhalation excess calories obesity cold and heat urticaria device-related
haemorrhage after impacted lower third molar extraction;8240;mandibular third molar extraction
haemophilia;8241;haemophilia
haemodynamics stability;8242;stability
haemodynamic response associated;8243;ovarian dysfunction
"haemodynamic instability; ards";8244;"instability; ards"
haemodynamic instability;8245;instability
haemodynamic changes associated;8246;anca vasculitis
haematuria;8247;haematuria
"haematological disorders; pregnancy and childbirth; ruptured ectopic pregnancy";8248;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; pregnancy; pregnancy"
habitual abortion;8249;abortion
gynecopathy;8250;gynecopathy
gynecomastia;8251;gynecomastia
gynecology procedures;8252;proc
"gynecology disease; urology disease; orthopedics disease";8253;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd"
gynecological surgery;8254;surgery
gynecological outpatient surgery;8255;surgery
gynecological operation;8256;gyn
"gynecological malignancies; hysterectomy; malignant neoplasms of uterus, ovary, cervix uteri, corpus uteri";8257;"malignancies; hysterectomy; malignant neoplasm; ovary anomaly; cervix; corpus uteri"
gynecological laparoscopic surgery;8258;surgery
gynecological inflammation;8259;inflammation
gynecological endoscopic surgery;8260;surgery
gynecological diseases;8261;cvd msd ad pd ed
"gynecological disease; total abdominal hysterectomy";8262;"ckd cad aki ed scd; tkr"
gynecological day surgery;8263;surgery
gynecologic surgical incision pain;8264;gynecologic surgical incision pain
gynecologic laparotomy for benign disease;8265;gyn lap for benign disease cvd risk
"gynecologic laparoscopic surgery; postoperative pain";8266;"surgery; pain"
gynecologic laparoscopic surgery stress response;8267;postop analgesia cholecystectomy postop vomiting postop renal damage
gynecologic laparoscopic surgery;8268;surgery
gynecologic cancer;8269;bc
gynecologic;8270;gynecologic
gynaecology;8271;gynaecology
gynaecological diseases;8272;cvd msd ad pd ed
gynaecological day surgery;8273;surgery
gustilo-anderson open tibia fracture;8274;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
gums health;8275;mh omhd oh md gh
gum related disease;8276;ckd cad aki ed scd
gum recession treatments;8277;gingival index
gum recession;8278;gingival index
gum health;8279;mh omhd oh md gh
gum esthetics;8280;gum issues
gum diseases;8281;cvd msd ad pd ed
"gum disease; gingivitis";8282;"ckd cad aki ed scd; gingivitis"
gum disease;8283;ckd cad aki ed scd
"gulf war syndrome; gulf war illness";8284;"rds mets cad ibs rtis; critillness"
gulf war syndrome;8285;rds mets cad ibs rtis
gulf war illness;8286;critillness
growth retardation;8287;fgr
"growth rate; nec; sepsis";8288;"fgr; nec; sepsis"
growth of premature infants;8289;prom
growth and development;8290;ssi
growth;8291;fgr
gro;8292;go
grip strength and velocity;8293;hand grip strength
gridhrasi;8294;gridhrasi
greater tuberosity humeral fractures;8295;greater tuberosity humeral fractures
great saphenous ve;8296;dvt
gray hairs;8297;gray hairs
granulomatous mastitis;8298;mastitis
"grandparent caregivers; child development";8299;"grandparent caregivers; neurodevelopment"
graft-versus-host disease;8300;ckd cad aki ed scd
graft versus host disease;8301;gvhd
graduate students;8302;students
"gout; vatarakta; gouty arthritis";8303;"gout; vatarakta; ra pa ka jpa gout"
gout vatarakat;8304;gout
gonoarthrosis;8305;gonoarthrosis
"gonarthrosis; knee arthrosis";8306;"oa; tkr"
glycaemic index;8307;vhi vd gi vc
glomerulopathy;8308;c3g
"glomerulonephritis; glomerular disease; iga nephropathy";8309;"gn; ckd cad aki ed scd; iganephropathy"
glomerulonephritis rapidly progressive;8310;gn
glomerulonephritis;8311;gn
"glomerular kidney diseases; proteinuria";8312;"ckd cad aki ed scd; proteinuria"
"glomerular diseases; idiopathic membranous nephropathy";8313;"cvd msd ad pd ed; ipf cf pe iim lf"
glomerular diseases;8314;cvd msd ad pd ed
globus sensation;8315;globus
global developmental delay gdd;8316;global developmental delay gdd
glanzmann thrombasthenia;8317;glanzmann thrombasthenia
glabellar frown lines;8318;frown lines
"gingivitis; tooth plaque";8319;"gingivitis; tooth extraction ext
tooth decay decay
tooth sensitivity sens
tooth"
"gingivitis; plaque";8320;"gingivitis; plaque"
"gingivitis; periodontitis";8321;"gingivitis; periodontitis"
"gingivitis; periodontal diseases; periodontitis";8322;"gingivitis; cvd msd ad pd ed; periodontitis"
"gingivitis; periodontal diseases; gingival disease; dental plaque";8323;"gingivitis; cvd msd ad pd ed; ckd cad aki ed scd; dental caries"
"gingivitis; periodontal diseases";8324;"gingivitis; cvd msd ad pd ed"
"gingivitis; other specified bacterial diseases";8325;"gingivitis; digestive diseases"
"gingivitis; mild intellectual disabilities; moderate intellectual disabilities";8326;"gingivitis; mci
cognitive impairment
renal impairment
cognitive decline; id"
"gingivitis; gingivitis; periodontitis; other periodontal diseases";8327;"gingivitis; gingivitis; periodontitis; cvd msd ad pd ed"
"gingivitis; gingivitis";8328;"gingivitis; gingivitis"
"gingivitis; early gum disease";8329;"gingivitis; ckd cad aki ed scd"
"gingivitis; diseases of the eye and adnexa";8330;"gingivitis; teeth disorders musculoskeletal disorders edentulism eye disorders"
"gingivitis; diabetes";8331;"gingivitis; diabetes"
"gingivitis; dental plaque";8332;"gingivitis; dental caries"
"gingivitis; dental caries on pit and fissure surface; dental caries on smooth surface";8333;"gingivitis; dental caries; dental caries"
"gingivitis; bacterial diseases";8334;"gingivitis; cvd msd ad pd ed"
gingivitis, gingivitis;8335;"gingivitis; gingivitis"
gingivitis and periodontitis;8336;gingivitis
gingivitis and periodontal diseases;8337;nutrmetab diseases urogenital diseases biliarypancreas diseases
gingivitis - plaque induced;8338;plaque gingivitis
gingivitis;8339;gingivitis
gingival recession treatment;8340;gingival index
gingival recession defects;8341;gingival index
gingival recession;8342;gingival index
gingival pigmentation;8343;gingival index
"gingival overgrowth; assessment of growth factors levels associated";8344;"gingival index; rebound pa injection pa allergy risk factors growth factors levels acl injury risk factors"
"gingival inflammation; bleeding";8345;"inflammation; bleeding"
gingival inflammation;8346;inflammation
gingival hyperplasia;8347;bph eh aeh
gingival health;8348;mh omhd oh md gh
"gingival healing; dental extraction";8349;"wound; dental caries"
gingival enlargement accompanied by orthodontics;8350;gingival enlargement accompanied by orthodontics
gingival enlargement;8351;gingival index
gingival disorders;8352;hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders
"gingival disorder; edentulous alveolar ridge disorder";8353;"mdd bd aud oud asd; alveolar ridge"
gingival disorder;8354;mdd bd aud oud asd
"gingival diseases; caries";8355;"cvd msd ad pd ed; dental caries"
"gingival disease; periodontal disease; caries";8356;"ckd cad aki ed scd; ckd cad aki ed scd; dental caries"
"gingival disease; periodontal disease";8357;"ckd cad aki ed scd; ckd cad aki ed scd"
"gingival disease prevention; gingivitis";8358;"ckd cad aki ed scd; gingivitis"
gingival depigmentation;8359;gingival index
"gingival bleeding; plaque induced gingival disease; gingivitis; periodontal diseases";8360;"bleeding; plaque gingivitis; gingivitis; cvd msd ad pd ed"
"gingival bleeding; plaque induced gingival disease; gingival diseases; gingivitis; periodontal diseases";8361;"bleeding; plaque gingivitis; cvd msd ad pd ed; gingivitis; cvd msd ad pd ed"
gingival bleeding;8362;bleeding
gingival biotype;8363;gingival index
gingival and edentulous alveolar ridge lesions associated;8364;alveolar ridge
"gingiva disorders; edentulous alveolar ridge disorders";8365;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; alveolar ridge"
"gingiva disorders; edentulous alveolar ridge";8366;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; alveolar ridge"
gingiva disorder;8367;mdd bd aud oud asd
giant cell cancer of bone;8368;nsclc
gestational risk;8369;"fall risk fall prevention hair loss sexual risk behaviors risk taking

fall risk"
gestational hypertension;8370;htn
"gestational edema; physiological oedema";8371;"edema; physiological oedema"
gestational edema;8372;edema
genotoxicity;8373;genotoxicity
